--------------------epoch: 0--------------------
Training start ...
*[Iter]: 055 [Acc@1]: 8.594%  [Acc@5]: 26.562%  [Loss]: 4.03063.
*[Iter]: 056 [Acc@1]: 8.594%  [Acc@5]: 32.031%  [Loss]: 3.75552.
*[Iter]: 057 [Acc@1]: 6.250%  [Acc@5]: 25.781%  [Loss]: 3.92836.
*[Iter]: 058 [Acc@1]: 9.375%  [Acc@5]: 34.375%  [Loss]: 3.67741.
*[Iter]: 059 [Acc@1]: 12.500%  [Acc@5]: 35.938%  [Loss]: 3.79470.
*[Iter]: 060 [Acc@1]: 16.406%  [Acc@5]: 37.500%  [Loss]: 3.76560.
*[Iter]: 061 [Acc@1]: 8.594%  [Acc@5]: 30.469%  [Loss]: 3.88197.
*[Iter]: 062 [Acc@1]: 14.844%  [Acc@5]: 30.469%  [Loss]: 3.84754.
*[Iter]: 063 [Acc@1]: 10.156%  [Acc@5]: 29.688%  [Loss]: 3.84573.
*[Iter]: 064 [Acc@1]: 14.844%  [Acc@5]: 36.719%  [Loss]: 3.53952.
*[Iter]: 065 [Acc@1]: 12.500%  [Acc@5]: 31.250%  [Loss]: 3.68379.
*[Iter]: 066 [Acc@1]: 6.250%  [Acc@5]: 28.906%  [Loss]: 3.79595.
*[Iter]: 067 [Acc@1]: 9.375%  [Acc@5]: 29.688%  [Loss]: 3.65393.
*[Iter]: 068 [Acc@1]: 7.031%  [Acc@5]: 25.781%  [Loss]: 3.93984.
*[Iter]: 069 [Acc@1]: 10.938%  [Acc@5]: 26.562%  [Loss]: 3.95308.
*[Iter]: 070 [Acc@1]: 9.375%  [Acc@5]: 30.469%  [Loss]: 3.95470.
*[Iter]: 071 [Acc@1]: 14.062%  [Acc@5]: 33.594%  [Loss]: 3.67943.
*[Iter]: 072 [Acc@1]: 9.375%  [Acc@5]: 32.031%  [Loss]: 3.86140.
*[Iter]: 073 [Acc@1]: 9.375%  [Acc@5]: 28.906%  [Loss]: 3.85850.
*[Iter]: 074 [Acc@1]: 16.406%  [Acc@5]: 32.812%  [Loss]: 3.79204.
*[Iter]: 075 [Acc@1]: 10.938%  [Acc@5]: 31.250%  [Loss]: 3.92776.
*[Iter]: 076 [Acc@1]: 11.719%  [Acc@5]: 34.375%  [Loss]: 3.66274.
*[Iter]: 077 [Acc@1]: 9.375%  [Acc@5]: 35.156%  [Loss]: 3.84567.
*[Iter]: 078 [Acc@1]: 10.938%  [Acc@5]: 33.594%  [Loss]: 3.76014.
*[Iter]: 079 [Acc@1]: 9.375%  [Acc@5]: 26.562%  [Loss]: 3.68018.
*[Iter]: 080 [Acc@1]: 12.500%  [Acc@5]: 37.500%  [Loss]: 3.80774.
*[Iter]: 081 [Acc@1]: 10.156%  [Acc@5]: 25.000%  [Loss]: 3.93974.
*[Iter]: 082 [Acc@1]: 5.469%  [Acc@5]: 33.594%  [Loss]: 3.73196.
*[Iter]: 083 [Acc@1]: 14.844%  [Acc@5]: 43.750%  [Loss]: 3.49684.
*[Iter]: 084 [Acc@1]: 11.719%  [Acc@5]: 38.281%  [Loss]: 3.64356.
*[Iter]: 085 [Acc@1]: 9.375%  [Acc@5]: 28.125%  [Loss]: 4.12706.
*[Iter]: 086 [Acc@1]: 8.594%  [Acc@5]: 39.844%  [Loss]: 3.50909.
*[Iter]: 087 [Acc@1]: 10.938%  [Acc@5]: 33.594%  [Loss]: 3.78982.
*[Iter]: 088 [Acc@1]: 14.844%  [Acc@5]: 37.500%  [Loss]: 3.75542.
*[Iter]: 089 [Acc@1]: 4.688%  [Acc@5]: 32.812%  [Loss]: 3.88359.
*[Iter]: 090 [Acc@1]: 9.375%  [Acc@5]: 34.375%  [Loss]: 3.66513.
*[Iter]: 091 [Acc@1]: 10.156%  [Acc@5]: 38.281%  [Loss]: 3.67249.
*[Iter]: 092 [Acc@1]: 14.062%  [Acc@5]: 36.719%  [Loss]: 3.62551.
*[Iter]: 093 [Acc@1]: 7.031%  [Acc@5]: 32.031%  [Loss]: 3.87459.
*[Iter]: 094 [Acc@1]: 10.938%  [Acc@5]: 31.250%  [Loss]: 3.84554.
*[Iter]: 095 [Acc@1]: 10.156%  [Acc@5]: 35.938%  [Loss]: 3.70064.
*[Iter]: 096 [Acc@1]: 9.375%  [Acc@5]: 27.344%  [Loss]: 3.82499.
*[Iter]: 097 [Acc@1]: 8.594%  [Acc@5]: 32.031%  [Loss]: 3.78103.
*[Iter]: 098 [Acc@1]: 7.031%  [Acc@5]: 32.812%  [Loss]: 3.83785.
*[Iter]: 099 [Acc@1]: 10.938%  [Acc@5]: 27.344%  [Loss]: 3.91265.
*[Iter]: 100 [Acc@1]: 8.594%  [Acc@5]: 36.719%  [Loss]: 3.72556.
*[Iter]: 101 [Acc@1]: 10.156%  [Acc@5]: 36.719%  [Loss]: 3.77403.
*[Iter]: 102 [Acc@1]: 10.156%  [Acc@5]: 31.250%  [Loss]: 3.70500.
*[Iter]: 103 [Acc@1]: 13.281%  [Acc@5]: 39.062%  [Loss]: 3.68367.
*[Iter]: 104 [Acc@1]: 10.156%  [Acc@5]: 34.375%  [Loss]: 3.79339.
*[Iter]: 105 [Acc@1]: 9.375%  [Acc@5]: 28.125%  [Loss]: 3.84734.
*[Iter]: 106 [Acc@1]: 11.719%  [Acc@5]: 36.719%  [Loss]: 3.75043.
*[Iter]: 107 [Acc@1]: 11.719%  [Acc@5]: 32.031%  [Loss]: 3.69001.
*[Iter]: 108 [Acc@1]: 8.594%  [Acc@5]: 33.594%  [Loss]: 3.82043.
*[Iter]: 109 [Acc@1]: 7.812%  [Acc@5]: 27.344%  [Loss]: 4.03521.
*[Iter]: 110 [Acc@1]: 15.625%  [Acc@5]: 34.375%  [Loss]: 3.66867.
*[Iter]: 111 [Acc@1]: 13.281%  [Acc@5]: 41.406%  [Loss]: 3.75809.
*[Iter]: 112 [Acc@1]: 10.938%  [Acc@5]: 33.594%  [Loss]: 3.73175.
*[Iter]: 113 [Acc@1]: 13.281%  [Acc@5]: 39.062%  [Loss]: 3.56347.
*[Iter]: 114 [Acc@1]: 7.812%  [Acc@5]: 19.531%  [Loss]: 3.98343.
*[Iter]: 115 [Acc@1]: 10.156%  [Acc@5]: 36.719%  [Loss]: 3.71701.
